Year,Found_Term,Count
2011,coming soon,1
2011,tesla,1
2011,true,2
2011,yeah,2
2012,coming soon,1
2012,exactly,2
2012,tesla,33
2012,true,1
2012,yeah,2
2013,coming soon,2
2013,exactly,9
2013,tesla,98
2013,true,10
2013,yeah,11
2014,coming soon,3
2014,exactly,1
2014,tesla,44
2014,true,1
2014,yeah,5
2015,coming soon,1
2015,tesla,33
2015,true,5
2015,yeah,2
2016,coming soon,5
2016,exactly,14
2016,tesla,131
2016,true,11
2016,yeah,9
2017,coming soon,19
2017,exactly,20
2017,tesla,123
2017,true,30
2017,yeah,51
2018,coming soon,20
2018,exactly,44
2018,good question,1
2018,tesla,443
2018,true,51
2018,yeah,42
2019,coming soon,19
2019,exactly,65
2019,good question,5
2019,tesla,749
2019,true,70
2019,yeah,50
2020,coming soon,19
2020,exactly,59
2020,good question,1
2020,tesla,720
2020,true,79
2020,yeah,83
2021,coming soon,10
2021,exactly,40
2021,tesla,560
2021,true,71
2021,yeah,52
2022,coming soon,11
2022,exactly,99
2022,good question,12
2022,legacy media,2
2022,tesla,610
2022,true,114
2022,yeah,78
2023,coming soon,29
2023,exactly,255
2023,good question,46
2023,legacy media,18
2023,tesla,650
2023,true,334
2023,yeah,387
2024,coming soon,24
2024,exactly,503
2024,good question,34
2024,legacy media,181
2024,tesla,559
2024,true,845
2024,yeah,1177
2025,coming soon,4
2025,exactly,207
2025,good question,35
2025,legacy media,56
2025,tesla,178
2025,true,345
2025,yeah,176
